method,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,avg_step_conv,med_step_conv,p25_step_conv,p75_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_TS_s,med_ms_per_step
GAD dt=0.003 (5k),10,287,256,89.19860627177701,777.7282229965157,172.0,265.4375,164.5,123.75,219.25,824.5,48.32881508056295,10.71532416343689,13870.369928121567,54.18113253172487,62.21894732492412
GAD dt=0.003 (5k),30,287,254,88.50174216027875,961.9198606271777,357.0,436.28740157480314,336.5,260.25,466.75,878.2499999999998,59.70758034543293,22.16204524040222,17136.07555913925,67.46486440606004,62.06953272819519
GAD dt=0.003 (5k),50,287,245,85.36585365853658,1217.2996515679442,505.0,567.8367346938776,457.0,369.0,641.0,1104.3999999999999,75.76197819344259,31.26272964477539,21743.68774151802,88.74974588374702,62.22999475564167
GAD dt=0.003 (5k),100,287,204,71.0801393728223,2055.487804878049,931.0,856.4754901960785,756.5,582.75,953.25,1729.9499999999998,130.66266165294715,58.79430556297302,37500.18389439583,183.8244308548815,63.44936999052363
GAD dt=0.003 (5k),150,287,158,55.05226480836237,2868.1602787456445,1812.0,1126.607594936709,992.0,745.0,1245.75,2213.7,179.88933250962234,111.39158821105957,51628.23843026161,326.7610027231748,62.41558686546657
GAD dt=0.003 (5k),200,287,117,40.76655052264808,3536.2334494773518,5000.0,1408.3931623931624,1195.0,860.0,1564.0,3563.1999999999966,217.74934866121006,303.808224439621,62494.06306576729,534.1372911604042,61.54798126220703
GAD dt=0.005 (5k),10,287,256,89.19860627177701,693.5121951219512,104.0,171.0234375,98.5,74.75,130.25,509.75,42.56387204741767,6.462916135787964,12215.831277608871,47.718090928159654,61.35122494031024
GAD dt=0.005 (5k),30,287,254,88.50174216027875,817.3728222996516,213.0,272.96062992125985,202.5,157.25,282.75,542.5,50.54563278022128,13.157577514648438,14506.596607923508,57.11258507056499,61.637466194249
GAD dt=0.005 (5k),50,287,246,85.71428571428571,1020.5365853658536,305.0,356.2926829268293,277.0,221.5,387.25,664.0,63.67348578167294,19.02056050300598,18274.290419340134,74.28573341195177,62.40333491609297
GAD dt=0.005 (5k),100,287,206,71.77700348432056,1805.588850174216,557.0,548.5339805825242,457.0,353.25,580.5,1081.5,111.97621180122323,34.281211376190186,32137.172786951065,156.00569314053914,62.21909720198553
GAD dt=0.005 (5k),150,287,164,57.142857142857146,2590.547038327526,1036.0,782.4573170731708,612.5,455.75,784.0,1581.0999999999992,159.13716245362153,63.736918926239014,45672.36562418938,278.49003429383765,61.32867364845326
GAD dt=0.005 (5k),200,287,124,43.20557491289198,3278.6550522648085,5000.0,1014.9193548387096,737.0,538.5,1027.25,3162.4999999999986,204.06885151912942,306.8564655780792,58567.76038599014,472.32064827411403,62.21843852996827
GAD dt=0.007 (5k),10,287,256,89.19860627177701,653.6445993031359,75.0,126.328125,72.0,55.0,97.0,373.75,41.56794413207715,4.829324722290039,11929.999965906143,46.60156236682087,63.57437656039283
GAD dt=0.007 (5k),30,287,255,88.85017421602788,734.5121951219512,153.0,198.23529411764707,144.0,114.0,203.5,404.4999999999999,45.419852994460264,9.504151105880737,13035.497809410095,51.11959925258861,61.89236869203284
GAD dt=0.007 (5k),50,287,246,85.71428571428571,939.0104529616725,220.0,261.1788617886179,199.0,158.25,281.25,491.25,58.242715882091986,13.629822492599487,16715.6594581604,67.94983519577399,62.09084744356117
GAD dt=0.007 (5k),100,287,209,72.82229965156795,1664.7526132404182,402.0,419.01913875598086,331.0,254.0,421.0,816.1999999999999,102.4341194812429,24.711739540100098,29398.592291116714,140.6631210101278,61.49024858414752
GAD dt=0.007 (5k),150,287,167,58.18815331010453,2447.6620209059233,740.0,612.6467065868263,436.0,324.5,587.5,1875.6999999999955,151.79773344727758,47.83496022224426,43565.94949936867,260.873949098016,61.64611129760742
GAD dt=0.007 (5k),200,287,128,44.599303135888505,3154.9024390243903,5000.0,861.9453125,545.0,385.75,756.0,2869.3999999999974,196.62017052264994,307.8872721195221,56429.988940000534,440.8592885937542,62.09662880897522
Sella libdef (2k),10,287,276,96.16724738675958,179.34843205574913,5.0,113.90942028985508,4.0,4.0,6.0,2000.0,13.429930468469546,0.37006592750549316,3854.39004445076,13.965181320473768,78.69458198547363
Sella libdef (2k),30,287,276,96.16724738675958,180.45644599303137,6.0,107.93840579710145,6.0,5.0,8.0,817.75,14.564291337641274,0.4956512451171875,4179.951613903046,15.144752224286398,76.86513662338257
Sella libdef (2k),50,287,264,91.98606271777004,274.6062717770035,7.0,124.28787878787878,7.0,6.0,9.0,1338.3499999999976,20.424870368910998,0.5604496002197266,5861.937795877457,22.204309832869153,76.70480012893677
