method,noise_pm,sample_idx,plateau_step,final_fmax,cross_fmax_0.05,cross_fnorm_0.05,cross_fmax_0.01,cross_fnorm_0.01,cross_fmax_0.005,cross_fnorm_0.005,cross_fmax_0.001,cross_fnorm_0.001
gad_dt003_5k,10,0,62,0.009849116206169128,29.0,20.0,574.0,185.0,,,,
gad_dt003_5k,10,1,77,0.012319249100983143,26.0,19.0,,117.0,,,,
gad_dt003_5k,10,2,88,0.00968063436448574,32.0,23.0,99.0,83.0,,,,
gad_dt003_5k,10,3,122,0.00999967847019434,36.0,18.0,140.0,105.0,,,,
gad_dt003_5k,10,4,186,0.009523246437311172,32.0,26.0,209.0,139.0,,,,
gad_dt003_5k,10,5,155,0.009802378714084625,31.0,21.0,289.0,177.0,,,,
gad_dt003_5k,10,6,170,0.009780395776033401,29.0,23.0,193.0,92.0,,,,
gad_dt003_5k,10,7,68,0.00990927405655384,32.0,26.0,84.0,64.0,,,,
gad_dt003_5k,10,8,111,0.009953605011105537,52.0,27.0,123.0,99.0,,,,
gad_dt003_5k,10,9,53,0.02632475085556507,35.0,20.0,,,,,,
gad_dt003_5k,10,10,156,0.009944195859134197,25.0,19.0,195.0,105.0,,,,
gad_dt003_5k,10,11,108,0.009840328246355057,24.0,18.0,125.0,76.0,,,,
gad_dt003_5k,10,12,124,0.009816093370318413,36.0,26.0,153.0,87.0,,,,
gad_dt003_5k,10,13,60,0.017199410125613213,23.0,19.0,,101.0,,,,
gad_dt003_5k,10,14,107,0.009946242906153202,41.0,23.0,153.0,87.0,,,,
gad_dt003_5k,10,15,155,0.009831900708377361,28.0,23.0,205.0,83.0,,,,
gad_dt003_5k,10,16,133,0.009970324113965034,44.0,32.0,148.0,123.0,,,,
gad_dt003_5k,10,17,133,0.009331215173006058,31.0,18.0,202.0,109.0,,,,
gad_dt003_5k,10,18,92,0.009878664277493954,36.0,21.0,104.0,71.0,,,,
gad_dt003_5k,10,19,156,0.00999018270522356,35.0,26.0,187.0,113.0,,,,
gad_dt003_5k,10,20,82,0.009868341498076916,25.0,19.0,98.0,81.0,,,,
gad_dt003_5k,10,21,95,0.009913148358464241,31.0,27.0,124.0,79.0,,,,
gad_dt003_5k,10,22,111,0.00997544452548027,29.0,25.0,128.0,94.0,,,,
gad_dt003_5k,10,23,124,0.009995553642511368,44.0,24.0,135.0,89.0,,,,
gad_dt003_5k,10,24,64,0.05612623691558838,252.0,102.0,,,,,,
gad_dt003_5k,10,25,256,0.008946233429014683,29.0,21.0,305.0,117.0,,240.0,,
gad_dt003_5k,10,26,209,0.009904407896101475,38.0,21.0,261.0,117.0,,238.0,,
gad_dt003_5k,10,27,254,0.009837488643825054,24.0,17.0,305.0,174.0,,,,
gad_dt003_5k,10,28,75,0.009974484331905842,28.0,18.0,92.0,61.0,,,,
gad_dt003_5k,10,29,148,0.009935349225997925,68.0,20.0,161.0,94.0,,148.0,,
gad_dt003_5k,30,0,186,0.011261061765253544,62.0,51.0,,224.0,,,,
gad_dt003_5k,30,1,223,0.012305973097682,78.0,49.0,,364.0,,,,
gad_dt003_5k,30,2,175,0.009817807003855705,74.0,61.0,248.0,165.0,,,,
gad_dt003_5k,30,3,254,0.009898461401462555,100.0,68.0,319.0,193.0,,,,
gad_dt003_5k,30,4,282,0.009674513712525368,103.0,70.0,305.0,242.0,,,,
gad_dt003_5k,30,5,165,0.009749104268848896,94.0,55.0,504.0,317.0,,,,
gad_dt003_5k,30,6,277,0.009948362596333027,127.0,55.0,304.0,225.0,,,,
gad_dt003_5k,30,7,218,0.00960271805524826,57.0,49.0,252.0,162.0,,,,
gad_dt003_5k,30,8,249,0.00988167617470026,87.0,67.0,281.0,216.0,,,,
gad_dt003_5k,30,9,130,0.026212673634290695,111.0,71.0,,,,,,
gad_dt003_5k,30,10,285,0.009941981174051762,107.0,56.0,330.0,227.0,,,,
gad_dt003_5k,30,11,224,0.009947859682142735,87.0,43.0,257.0,234.0,,,,
gad_dt003_5k,30,12,275,0.009886319749057293,80.0,59.0,307.0,218.0,,,,
gad_dt003_5k,30,13,196,0.014833050779998302,53.0,44.0,,234.0,,,,
gad_dt003_5k,30,14,287,0.009950319305062294,77.0,52.0,315.0,227.0,,,,
gad_dt003_5k,30,15,395,0.009900685399770737,70.0,49.0,461.0,297.0,,,,
gad_dt003_5k,30,16,203,0.009379781782627106,93.0,75.0,214.0,188.0,,,,
gad_dt003_5k,30,17,172,0.009653075598180294,104.0,68.0,690.0,292.0,,,,
gad_dt003_5k,30,18,212,0.009837332181632519,80.0,50.0,239.0,179.0,,,,
gad_dt003_5k,30,19,309,0.009793677367269993,155.0,70.0,325.0,268.0,,,,
gad_dt003_5k,30,20,172,0.009990629740059376,61.0,52.0,201.0,165.0,,,,
gad_dt003_5k,30,21,176,0.009937022812664509,70.0,56.0,211.0,144.0,,,,
gad_dt003_5k,30,22,254,0.00989842601120472,97.0,65.0,298.0,215.0,,,,
gad_dt003_5k,30,23,277,0.009951974265277386,96.0,63.0,329.0,208.0,,,,
gad_dt003_5k,30,24,153,0.057202212512493134,363.0,173.0,,,,,,
gad_dt003_5k,30,25,378,0.009958750568330288,104.0,61.0,435.0,247.0,,,,
gad_dt003_5k,30,26,396,0.009996621869504452,135.0,66.0,550.0,314.0,,,,
gad_dt003_5k,30,27,507,0.00980676431208849,181.0,87.0,550.0,410.0,,,,
gad_dt003_5k,30,28,169,0.009978031739592552,55.0,41.0,207.0,154.0,,,,
gad_dt003_5k,30,29,211,0.009474805556237698,126.0,61.0,225.0,174.0,,,,
gad_dt003_5k,50,0,368,0.01136096566915512,86.0,69.0,,302.0,,,,
gad_dt003_5k,50,1,290,0.012299041263759136,115.0,75.0,,664.0,,,,
