phase,n_steps,avg_fmax,avg_abs_eig1,p10_abs_eig1,p50_abs_eig1,p90_abs_eig1,avg_disp_step,med_disp_step,avg_v1_overlap,avg_continuity,method,noise_pm
converged,256,0.0098,0.0821,0.0149,0.0519,0.1738,2e-05,2e-05,0.2404,1.0,GAD dt=0.003,10
descent_smooth,2468,0.1574,0.1971,0.1083,0.1642,0.3114,0.00037,0.0002,0.1488,1.0,GAD dt=0.003,10
above_basin,17178,0.0421,0.0549,0.0151,0.0431,0.1126,7e-05,3e-05,0.3701,1.0,GAD dt=0.003,10
descent_curved,15684,0.1062,0.0327,0.0105,0.0236,0.0683,0.0002,0.0001,0.1628,1.0,GAD dt=0.003,10
tightening_safe,70510,0.018,0.1732,0.1148,0.1496,0.2594,1e-05,0.0,0.1381,1.0,GAD dt=0.003,10
tightening_ill,116825,0.0226,0.0367,0.0087,0.0298,0.0745,2e-05,2e-05,0.2169,1.0,GAD dt=0.003,10
converged,254,0.0098,0.0824,0.0155,0.0523,0.1738,2e-05,2e-05,0.271,1.0,GAD dt=0.003,30
descent_smooth,6307,0.2363,0.207,0.1067,0.1682,0.3262,0.0005,0.0002,0.1801,1.0,GAD dt=0.003,30
above_basin,22195,0.2186,0.0877,0.0149,0.0565,0.2192,0.00029,4e-05,0.3502,0.9994,GAD dt=0.003,30
descent_curved,27982,0.1865,0.0385,0.0107,0.0307,0.0753,0.00033,0.00014,0.1379,0.9999,GAD dt=0.003,30
tightening_safe,76420,0.0187,0.1736,0.1138,0.15,0.2601,1e-05,0.0,0.1596,1.0,GAD dt=0.003,30
tightening_ill,142626,0.0223,0.0384,0.0088,0.0331,0.0745,2e-05,2e-05,0.2233,1.0,GAD dt=0.003,30
converged,403,0.0099,0.0841,0.0178,0.0531,0.186,2e-05,2e-05,0.3173,1.0,GAD dt=0.003,50
descent_smooth,107817,0.8955,0.1916,0.1102,0.1678,0.2819,0.00072,0.0001,0.1234,0.9999,GAD dt=0.003,50
