method,noise_pm,step_budget,n_total,n_ever_conv,n_conv_by_step,frac_of_ever_conv,frac_of_total
GAD dt=0.003 (5k),10,10,287,256,0,0.0,0.0
GAD dt=0.003 (5k),10,30,287,256,0,0.0,0.0
GAD dt=0.003 (5k),10,50,287,256,0,0.0,0.0
GAD dt=0.003 (5k),10,75,287,256,1,0.00390625,0.003484320557491289
GAD dt=0.003 (5k),10,100,287,256,24,0.09375,0.08362369337979095
GAD dt=0.003 (5k),10,150,287,256,100,0.390625,0.34843205574912894
GAD dt=0.003 (5k),10,200,287,256,175,0.68359375,0.6097560975609756
GAD dt=0.003 (5k),10,300,287,256,211,0.82421875,0.735191637630662
GAD dt=0.003 (5k),10,400,287,256,223,0.87109375,0.7770034843205574
GAD dt=0.003 (5k),10,500,287,256,230,0.8984375,0.8013937282229965
GAD dt=0.003 (5k),10,700,287,256,240,0.9375,0.8362369337979094
GAD dt=0.003 (5k),10,1000,287,256,249,0.97265625,0.867595818815331
GAD dt=0.003 (5k),10,1500,287,256,253,0.98828125,0.8815331010452961
GAD dt=0.003 (5k),10,2000,287,256,253,0.98828125,0.8815331010452961
GAD dt=0.003 (5k),10,3000,287,256,254,0.9921875,0.8850174216027874
GAD dt=0.003 (5k),10,5000,287,256,256,1.0,0.89198606271777
GAD dt=0.003 (5k),30,10,287,254,0,0.0,0.0
GAD dt=0.003 (5k),30,30,287,254,0,0.0,0.0
GAD dt=0.003 (5k),30,50,287,254,0,0.0,0.0
GAD dt=0.003 (5k),30,75,287,254,0,0.0,0.0
GAD dt=0.003 (5k),30,100,287,254,0,0.0,0.0
GAD dt=0.003 (5k),30,150,287,254,3,0.011811023622047244,0.010452961672473868
GAD dt=0.003 (5k),30,200,287,254,18,0.07086614173228346,0.0627177700348432
GAD dt=0.003 (5k),30,300,287,254,97,0.38188976377952755,0.33797909407665505
GAD dt=0.003 (5k),30,400,287,254,169,0.6653543307086615,0.5888501742160279
GAD dt=0.003 (5k),30,500,287,254,200,0.7874015748031497,0.6968641114982579
GAD dt=0.003 (5k),30,700,287,254,230,0.905511811023622,0.8013937282229965
GAD dt=0.003 (5k),30,1000,287,254,245,0.9645669291338582,0.8536585365853658
GAD dt=0.003 (5k),30,1500,287,254,250,0.984251968503937,0.8710801393728222
GAD dt=0.003 (5k),30,2000,287,254,251,0.9881889763779528,0.8745644599303136
GAD dt=0.003 (5k),30,3000,287,254,251,0.9881889763779528,0.8745644599303136
GAD dt=0.003 (5k),30,5000,287,254,254,1.0,0.8850174216027874
GAD dt=0.003 (5k),50,10,287,246,0,0.0,0.0
GAD dt=0.003 (5k),50,30,287,246,0,0.0,0.0
GAD dt=0.003 (5k),50,50,287,246,0,0.0,0.0
GAD dt=0.003 (5k),50,75,287,246,0,0.0,0.0
GAD dt=0.003 (5k),50,100,287,246,0,0.0,0.0
GAD dt=0.003 (5k),50,150,287,246,1,0.0040650406504065045,0.003484320557491289
GAD dt=0.003 (5k),50,200,287,246,1,0.0040650406504065045,0.003484320557491289
GAD dt=0.003 (5k),50,300,287,246,25,0.1016260162601626,0.08710801393728224
GAD dt=0.003 (5k),50,400,287,246,78,0.3170731707317073,0.27177700348432055
GAD dt=0.003 (5k),50,500,287,246,141,0.573170731707317,0.4912891986062718
GAD dt=0.003 (5k),50,700,287,246,195,0.7926829268292683,0.6794425087108014
GAD dt=0.003 (5k),50,1000,287,246,229,0.9308943089430894,0.7979094076655052
GAD dt=0.003 (5k),50,1500,287,246,241,0.9796747967479674,0.8397212543554007
GAD dt=0.003 (5k),50,2000,287,246,244,0.991869918699187,0.8501742160278746
GAD dt=0.003 (5k),50,3000,287,246,245,0.9959349593495935,0.8536585365853658
