method,trust_radius,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,med_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_s,avg_fmax,min_fmax,avg_n_neg,n_used_newton,frac_used_newton
hybrid_damped_eckart_swfalse,0.005,10,287,131,45.64459930313589,864.4006968641115,1000.0,702.0,954.5,53.765789125854546,61.72437286376953,15430.781479120255,117.79222503145232,0.0160190868952561,0.009179959615887046,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.01,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,52.25128367968968,59.80014777183533,14996.118416070938,112.75277004564614,0.01602822554495432,0.009184244184426383,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.02,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,52.20396689504697,59.50231075286865,14982.538498878479,112.65066540510135,0.016028298274289535,0.00918432516029096,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.05,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,52.033368500267585,59.47561049461365,14933.576759576797,112.28253202689321,0.016028170901842543,0.009184111910254193,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.1,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.81938059321679,58.94668912887573,14872.16223025322,111.82076864852044,0.016028223209580528,0.00918352846833165,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.005,100,287,1,0.34843205574912894,999.7108013937283,1000.0,916.0,916.0,58.80309081991375,58.7878737449646,16876.487065315247,16876.487065315247,0.16154354339227198,0.009802598733545598,1.1045296167247387,0,0.0
hybrid_damped_eckart_swfalse,0.01,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.560011994132594,59.7886598110199,17093.723442316055,17093.723442316055,0.17229154739901126,0.009565235111511928,1.1045296167247387,0,0.0
hybrid_damped_eckart_swfalse,0.02,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.27178669225048,59.476301431655884,17011.002780675888,17011.002780675888,0.17130531358857304,0.009398155180573822,1.1010452961672474,0,0.0
hybrid_damped_eckart_swfalse,0.05,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,58.06171742133562,57.97804141044617,16663.712899923325,16663.712899923325,0.1956007364571135,0.009356483921578422,1.0975609756097562,0,0.0
hybrid_damped_eckart_swfalse,0.1,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.44422149408985,59.41565680503845,17060.491568803787,17060.491568803787,0.17603440796270386,0.009356532449214925,1.0975609756097562,0,0.0
