rundir,noise_pm,n_tried,n_topo,n_rmsd,n_topo_half,n_rmsd_half,avg_fwd_min_vib,avg_rev_min_vib,n_fwd_unstable,n_rev_unstable,topo_pct,rmsd_pct,unstable_pct
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_100pm,100,287,220.0,108.0,47.0,100.0,0.044798435942875046,0.049172326572927104,36.0,36.0,76.7,37.6,12.5
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_10pm,10,287,256.0,132.0,30.0,121.0,0.05154469828794495,0.058847826386571135,28.0,24.0,89.2,46.0,9.1
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_150pm,150,287,165.0,81.0,69.0,85.0,0.0449350836526347,0.049054872312552865,34.0,35.0,57.5,28.2,12.0
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_200pm,200,287,111.0,52.0,90.0,80.0,0.036945250662944226,0.041531227721834464,31.0,39.0,38.7,18.1,12.2
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_30pm,30,287,255.0,132.0,30.0,120.0,0.052065160587754546,0.05925564579088671,26.0,23.0,88.9,46.0,8.5
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_50pm,50,287,255.0,129.0,28.0,115.0,0.05164289384509013,0.059417412076075066,30.0,23.0,88.9,44.9,9.2
hybrid_swfalse_dt5e-3_tr0.005_100pm,100,287,230.0,116.0,39.0,99.0,0.048897058961789024,0.059071871529972966,33.0,30.0,80.1,40.4,11.0
hybrid_swfalse_dt5e-3_tr0.005_10pm,10,287,255.0,132.0,31.0,119.0,0.05114683638027147,0.05816123886581275,27.0,26.0,88.9,46.0,9.2
hybrid_swfalse_dt5e-3_tr0.10_100pm,100,287,229.0,116.0,41.0,98.0,0.048110410894962846,0.05727639438907132,33.0,32.0,79.8,40.4,11.3
hybrid_swfalse_dt5e-3_tr0.10_10pm,10,287,256.0,133.0,30.0,119.0,0.051659351997038465,0.05741763065936358,26.0,26.0,89.2,46.3,9.1
