rundir,noise_pm,n,topo_AND_rmsd,topo_NOT_rmsd,rmsd_NOT_topo,neither,both_pct,topo_only_pct,rmsd_only_pct
gad_dt005_fmax,10,287,132.0,123.0,1.0,31.0,46.0,42.9,0.3
gad_dt005_fmax,30,287,133.0,123.0,1.0,30.0,46.3,42.9,0.3
gad_dt005_fmax,50,287,130.0,125.0,1.0,31.0,45.3,43.6,0.3
gad_dt005_fmax,100,287,114.0,110.0,1.0,62.0,39.7,38.3,0.3
gad_dt005_fmax,150,287,89.0,88.0,1.0,109.0,31.0,30.7,0.3
gad_dt005_fmax,200,287,60.0,68.0,1.0,158.0,20.9,23.7,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_100pm,100,287,107.0,113.0,1.0,66.0,37.3,39.4,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_10pm,10,287,131.0,125.0,1.0,30.0,45.6,43.6,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_150pm,150,287,80.0,85.0,1.0,121.0,27.9,29.6,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_200pm,200,287,51.0,60.0,1.0,175.0,17.8,20.9,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_30pm,30,287,131.0,124.0,1.0,31.0,45.6,43.2,0.3
hybrid_damped_eckart_swtrue_dt5e-3_tr0.05_50pm,50,287,128.0,127.0,1.0,31.0,44.6,44.3,0.3
sella_carteck_libdef,10,287,130.0,126.0,1.0,30.0,45.3,43.9,0.3
sella_carteck_libdef,30,287,132.0,124.0,1.0,30.0,46.0,43.2,0.3
sella_carteck_libdef,50,287,127.0,124.0,1.0,35.0,44.3,43.2,0.3
sella_carteck_libdef,100,287,104.0,104.0,1.0,78.0,36.2,36.2,0.3
sella_carteck_libdef,150,287,70.0,73.0,1.0,143.0,24.4,25.4,0.3
sella_carteck_libdef,200,287,29.0,38.0,0.0,220.0,10.1,13.2,0.0
