method,noise_pm,n_total,rmsd_threshold,cutoff_scale,rmsd_intended_pct,topo_intended_pct
GAD dt=0.003 (5k),10,282,0.3,1.1,47.163120567375884,92.90780141843972
GAD dt=0.003 (5k),10,282,0.3,1.2,47.163120567375884,90.0709219858156
GAD dt=0.003 (5k),10,282,0.3,1.3,47.163120567375884,91.48936170212765
GAD dt=0.003 (5k),10,282,0.3,1.4,47.163120567375884,89.00709219858156
GAD dt=0.003 (5k),10,282,0.4,1.1,50.0,92.90780141843972
GAD dt=0.003 (5k),10,282,0.4,1.2,50.0,90.0709219858156
GAD dt=0.003 (5k),10,282,0.4,1.3,50.0,91.48936170212765
GAD dt=0.003 (5k),10,282,0.4,1.4,50.0,89.00709219858156
GAD dt=0.003 (5k),10,282,0.5,1.1,58.51063829787234,92.90780141843972
GAD dt=0.003 (5k),10,282,0.5,1.2,58.51063829787234,90.0709219858156
GAD dt=0.003 (5k),10,282,0.5,1.3,58.51063829787234,91.48936170212765
GAD dt=0.003 (5k),10,282,0.5,1.4,58.51063829787234,89.00709219858156
GAD dt=0.003 (5k),10,282,0.7,1.1,63.829787234042556,92.90780141843972
GAD dt=0.003 (5k),10,282,0.7,1.2,63.829787234042556,90.0709219858156
GAD dt=0.003 (5k),10,282,0.7,1.3,63.829787234042556,91.48936170212765
GAD dt=0.003 (5k),10,282,0.7,1.4,63.829787234042556,89.00709219858156
GAD dt=0.003 (5k),30,282,0.3,1.1,47.163120567375884,93.61702127659575
GAD dt=0.003 (5k),30,282,0.3,1.2,47.163120567375884,90.78014184397163
GAD dt=0.003 (5k),30,282,0.3,1.3,47.163120567375884,92.19858156028369
GAD dt=0.003 (5k),30,282,0.3,1.4,47.163120567375884,89.71631205673759
GAD dt=0.003 (5k),30,282,0.4,1.1,49.645390070921984,93.61702127659575
GAD dt=0.003 (5k),30,282,0.4,1.2,49.645390070921984,90.78014184397163
GAD dt=0.003 (5k),30,282,0.4,1.3,49.645390070921984,92.19858156028369
GAD dt=0.003 (5k),30,282,0.4,1.4,49.645390070921984,89.71631205673759
GAD dt=0.003 (5k),30,282,0.5,1.1,58.156028368794324,93.61702127659575
GAD dt=0.003 (5k),30,282,0.5,1.2,58.156028368794324,90.78014184397163
GAD dt=0.003 (5k),30,282,0.5,1.3,58.156028368794324,92.19858156028369
GAD dt=0.003 (5k),30,282,0.5,1.4,58.156028368794324,89.71631205673759
GAD dt=0.003 (5k),30,282,0.7,1.1,63.12056737588652,93.61702127659575
GAD dt=0.003 (5k),30,282,0.7,1.2,63.12056737588652,90.78014184397163
GAD dt=0.003 (5k),30,282,0.7,1.3,63.12056737588652,92.19858156028369
GAD dt=0.003 (5k),30,282,0.7,1.4,63.12056737588652,89.71631205673759
GAD dt=0.003 (5k),50,280,0.3,1.1,47.5,93.57142857142857
GAD dt=0.003 (5k),50,280,0.3,1.2,47.5,91.07142857142857
GAD dt=0.003 (5k),50,280,0.3,1.3,47.5,92.14285714285714
GAD dt=0.003 (5k),50,280,0.3,1.4,47.5,90.0
GAD dt=0.003 (5k),50,280,0.4,1.1,50.0,93.57142857142857
GAD dt=0.003 (5k),50,280,0.4,1.2,50.0,91.07142857142857
GAD dt=0.003 (5k),50,280,0.4,1.3,50.0,92.14285714285714
GAD dt=0.003 (5k),50,280,0.4,1.4,50.0,90.0
GAD dt=0.003 (5k),50,280,0.5,1.1,58.214285714285715,93.57142857142857
GAD dt=0.003 (5k),50,280,0.5,1.2,58.214285714285715,91.07142857142857
GAD dt=0.003 (5k),50,280,0.5,1.3,58.214285714285715,92.14285714285714
GAD dt=0.003 (5k),50,280,0.5,1.4,58.214285714285715,90.0
GAD dt=0.003 (5k),50,280,0.7,1.1,63.57142857142857,93.57142857142857
GAD dt=0.003 (5k),50,280,0.7,1.2,63.57142857142857,91.07142857142857
GAD dt=0.003 (5k),50,280,0.7,1.3,63.57142857142857,92.14285714285714
GAD dt=0.003 (5k),50,280,0.7,1.4,63.57142857142857,90.0
GAD dt=0.003 (5k),100,262,0.3,1.1,43.89312977099237,88.54961832061069
GAD dt=0.003 (5k),100,262,0.3,1.2,43.89312977099237,85.87786259541984
GAD dt=0.003 (5k),100,262,0.3,1.3,43.89312977099237,87.02290076335878
GAD dt=0.003 (5k),100,262,0.3,1.4,43.89312977099237,84.73282442748092
GAD dt=0.003 (5k),100,262,0.4,1.1,46.56488549618321,88.54961832061069
GAD dt=0.003 (5k),100,262,0.4,1.2,46.56488549618321,85.87786259541984
GAD dt=0.003 (5k),100,262,0.4,1.3,46.56488549618321,87.02290076335878
GAD dt=0.003 (5k),100,262,0.4,1.4,46.56488549618321,84.73282442748092
GAD dt=0.003 (5k),100,262,0.5,1.1,53.05343511450382,88.54961832061069
GAD dt=0.003 (5k),100,262,0.5,1.2,53.05343511450382,85.87786259541984
GAD dt=0.003 (5k),100,262,0.5,1.3,53.05343511450382,87.02290076335878
GAD dt=0.003 (5k),100,262,0.5,1.4,53.05343511450382,84.73282442748092
GAD dt=0.003 (5k),100,262,0.7,1.1,58.01526717557252,88.54961832061069
GAD dt=0.003 (5k),100,262,0.7,1.2,58.01526717557252,85.87786259541984
GAD dt=0.003 (5k),100,262,0.7,1.3,58.01526717557252,87.02290076335878
GAD dt=0.003 (5k),100,262,0.7,1.4,58.01526717557252,84.73282442748092
GAD dt=0.003 (5k),150,254,0.3,1.1,35.039370078740156,71.25984251968504
GAD dt=0.003 (5k),150,254,0.3,1.2,35.039370078740156,68.89763779527559
GAD dt=0.003 (5k),150,254,0.3,1.3,35.039370078740156,70.07874015748031
GAD dt=0.003 (5k),150,254,0.3,1.4,35.039370078740156,67.71653543307086
GAD dt=0.003 (5k),150,254,0.4,1.1,37.00787401574803,71.25984251968504
GAD dt=0.003 (5k),150,254,0.4,1.2,37.00787401574803,68.89763779527559
