family,noise_pm,conv_pct,topo_pct,med_step,wall_per_conv
Sella libdef,10,92.6829268292683,89.19860627177701,4.0,14.490188137032932
Sella libdef,30,91.98606271777004,89.19860627177701,6.0,15.833150052663052
Sella libdef,50,88.15331010452962,87.45644599303135,7.0,23.16971460821129
Sella libdef,100,70.73170731707317,72.47386759581882,9.0,65.1524997838025
Sella libdef,150,54.00696864111498,49.825783972125436,11.0,132.5939099773284
Sella libdef,200,27.177700348432055,23.34494773519164,13.0,393.8389519544748
plain GAD dt=0.005,10,89.19860627177701,88.85017421602788,99.5,47.718090928159654
plain GAD dt=0.005,30,88.50174216027875,89.19860627177701,203.5,57.11258507056499
plain GAD dt=0.005,50,85.71428571428571,88.85017421602788,278.0,74.28573341195177
plain GAD dt=0.005,100,71.77700348432056,78.04878048780488,458.0,156.00569314053914
plain GAD dt=0.005,150,57.142857142857146,61.67247386759582,613.5,278.49003429383765
plain GAD dt=0.005,200,43.20557491289198,44.599303135888505,738.0,472.32064827411403
hybrid Eckart damped tr=0.05,10,85.36585365853658,89.19860627177701,6.0,11.049741496845167
hybrid Eckart damped tr=0.05,30,85.01742160278745,88.85017421602788,12.0,11.982082695257468
hybrid Eckart damped tr=0.05,50,81.53310104529616,88.85017421602788,19.0,15.651485710062532
hybrid Eckart damped tr=0.05,100,66.89895470383276,76.65505226480836,36.5,34.85987463593483
hybrid Eckart damped tr=0.05,150,50.87108013937282,57.491289198606275,61.0,65.03591520492344
hybrid Eckart damped tr=0.05,200,33.10104529616725,38.67595818815331,95.0,130.68051676499215
