family,noise_pm,n_total,conv_pct,n_neg1_pct,topo_pct,irc_topo_pct_over_all,irc_n_validated,irc_n_topo_intended
SCINE/DFTB0 + plain GAD dt=0.007 15k,10,287,89.89547038327527,92.33449477351917,91.28919860627178,12.89198606271777,258,37
SCINE/DFTB0 + plain GAD dt=0.007 15k,30,287,66.55052264808363,68.29268292682927,67.59581881533101,0.6968641114982579,191,2
SCINE/DFTB0 + plain GAD dt=0.007 15k,50,287,43.90243902439025,45.64459930313589,45.29616724738676,0.34843205574912894,126,1
SCINE/DFTB0 + plain GAD dt=0.007 15k,100,287,19.51219512195122,21.254355400696863,20.905923344947734,0.0,56,0
SCINE/DFTB0 + plain GAD dt=0.007 15k,150,287,6.2717770034843205,6.620209059233449,6.620209059233449,0.0,18,0
SCINE/DFTB0 + plain GAD dt=0.007 15k,200,287,1.3937282229965158,1.3937282229965158,1.3937282229965158,0.0,4,0
SCINE/DFTB0 + Sella libdef 15k,10,287,87.8048780487805,88.50174216027875,87.8048780487805,0.0,252,0
SCINE/DFTB0 + Sella libdef 15k,30,287,73.5191637630662,74.56445993031359,73.5191637630662,0.0,211,0
SCINE/DFTB0 + Sella libdef 15k,50,287,56.09756097560975,58.18815331010453,56.44599303135889,0.0,161,0
SCINE/DFTB0 + Sella libdef 15k,100,287,32.40418118466899,33.79790940766551,32.40418118466899,0.0,93,0
SCINE/DFTB0 + Sella libdef 15k,150,287,15.331010452961673,16.37630662020906,15.679442508710801,0.0,44,0
SCINE/DFTB0 + Sella libdef 15k,200,287,3.832752613240418,3.832752613240418,3.832752613240418,0.0,11,0
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),10,287,32.40418118466899,70.73170731707317,58.18815331010453,9.40766550522648,93,27
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),30,287,12.195121951219512,46.34146341463415,35.19163763066202,0.6968641114982579,35,2
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),50,287,3.1358885017421603,22.299651567944252,14.982578397212544,0.34843205574912894,9,1
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),100,287,0.6968641114982579,5.2264808362369335,3.1358885017421603,0.0,2,0
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),150,287,0.0,0.6968641114982579,0.34843205574912894,0.0,0,0
SCINE/DFTB0 + plain GAD dt=0.005 2k (legacy),200,287,0.0,0.0,0.0,0.0,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),10,287,35.19163763066202,63.066202090592334,57.491289198606275,nan,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),30,287,12.89198606271777,44.94773519163763,41.46341463414634,nan,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),50,287,3.1358885017421603,20.209059233449477,17.770034843205575,nan,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),100,287,0.6968641114982579,3.1358885017421603,3.1358885017421603,nan,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),150,287,0.0,0.6968641114982579,0.34843205574912894,nan,0,0
SCINE/DFTB0 + plain GAD dt=0.005 no-Eckart 2k (legacy),200,287,0.0,0.0,0.0,nan,0,0
SCINE/DFTB0 + Sella libdef 2k (legacy),10,287,87.45644599303135,88.50174216027875,87.8048780487805,0.0,251,0
SCINE/DFTB0 + Sella libdef 2k (legacy),30,287,73.17073170731707,75.26132404181185,73.17073170731707,0.0,210,0
SCINE/DFTB0 + Sella libdef 2k (legacy),50,287,55.749128919860624,56.09756097560975,55.749128919860624,0.0,160,0
SCINE/DFTB0 + Sella libdef 2k (legacy),100,287,31.70731707317073,33.79790940766551,32.055749128919864,0.0,91,0
SCINE/DFTB0 + Sella libdef 2k (legacy),150,287,14.285714285714286,14.982578397212544,14.634146341463415,0.0,41,0
SCINE/DFTB0 + Sella libdef 2k (legacy),200,287,3.832752613240418,3.832752613240418,3.832752613240418,0.0,11,0
xTB/GFN1 + plain GAD (top-30 favorable),10,30,0.0,0.0,0.0,,,
xTB/GFN1 + Sella libdef (top-30 favorable),10,30,0.0,0.0,0.0,,,
