family,noise_pm,n,n_conv,conv_pct,med_steps_conv,wall_per_conv
Sella libdef,10,287,266,92.6829268292683,4.0,14.490188137032932
Sella libdef,30,287,264,91.98606271777004,6.0,15.833150052663052
Sella libdef,50,287,253,88.15331010452962,7.0,23.16971460821129
Sella libdef,100,287,203,70.73170731707317,9.0,65.1524997838025
Sella libdef,150,287,155,54.00696864111498,11.0,132.5939099773284
Sella libdef,200,287,78,27.177700348432055,13.0,393.8389519544748
plain GAD dt=0.007,10,287,256,89.19860627177701,73.0,46.60156236682087
plain GAD dt=0.007,30,287,255,88.85017421602788,145.0,51.11959925258861
plain GAD dt=0.007,50,287,246,85.71428571428571,200.0,67.94983519577399
plain GAD dt=0.007,100,287,209,72.82229965156795,332.0,140.6631210101278
plain GAD dt=0.007,150,287,167,58.18815331010453,437.0,260.873949098016
plain GAD dt=0.007,200,287,128,44.599303135888505,546.0,440.8592885937542
hybrid Eckart damped swtrue (R),10,287,247,86.1,7.0,10.3
hybrid Eckart damped swtrue (R),100,287,191,66.6,31.0,34.2
hybrid no-Eckart force-switch (O),10,287,256,89.2,106.0,16.1
hybrid no-Eckart force-switch (O),100,287,195,67.9,480.0,56.5
