family,noise_pm,conv_pct,topo_pct
Sella libdef,10,92.6829268292683,89.19860627177701
Sella libdef,30,91.98606271777004,89.19860627177701
Sella libdef,50,88.15331010452962,87.45644599303135
Sella libdef,100,70.73170731707317,72.47386759581882
Sella libdef,150,54.00696864111498,49.825783972125436
Sella libdef,200,27.177700348432055,23.34494773519164
plain GAD dt=0.005,10,89.19860627177701,88.85017421602788
plain GAD dt=0.005,30,88.50174216027875,89.19860627177701
plain GAD dt=0.005,50,85.71428571428571,88.85017421602788
plain GAD dt=0.005,100,71.77700348432056,78.04878048780488
plain GAD dt=0.005,150,57.142857142857146,61.67247386759582
plain GAD dt=0.005,200,43.20557491289198,44.599303135888505
hybrid Eckart damped tr=0.05 (R),10,85.36585365853658,89.19860627177701
hybrid Eckart damped tr=0.05 (R),30,85.01742160278745,88.85017421602788
hybrid Eckart damped tr=0.05 (R),50,81.53310104529616,88.85017421602788
hybrid Eckart damped tr=0.05 (R),100,66.89895470383276,76.65505226480836
hybrid Eckart damped tr=0.05 (R),150,50.87108013937282,57.491289198606275
hybrid Eckart damped tr=0.05 (R),200,33.10104529616725,38.67595818815331
hybrid no-Eckart tr=0.005 (R),10,89.19860627177701,88.85017421602788
hybrid no-Eckart tr=0.005 (R),100,66.89895470383276,80.13937282229965
