sample_id,formula,category,default_topo,fwd_min_eig,rev_min_eig,fwd_n_neg,rev_n_neg,topo_cut_1.10,topo_cut_1.15,topo_cut_1.20,topo_cut_1.25,topo_cut_1.30,topo_cut_1.35,topo_cut_1.40,topo_cut_1.50,R_edges_1.20,P_edges_1.20,fwd_edges_1.20,rev_edges_1.20
14,C2HNO,FAIL,False,-0.00031322808605375763,0.15567170646655137,1,0,False,False,False,False,False,False,False,False,4,4,3,4
12,C2HNO,FAIL,False,0.03440217233010493,0.0028900112314557934,0,0,False,False,False,False,False,False,False,False,4,3,3,3
13,C2HNO,FAIL,False,-0.7729343864406277,0.2117253401549254,1,0,False,False,False,False,False,False,False,False,4,4,3,4
11,C2HNO,FAIL,False,0.13421832328603897,-0.0004653987424310273,0,1,False,False,False,False,False,False,False,False,4,4,4,3
15,C2HNO3,FAIL,False,-0.00015953589655477488,0.05592102443730963,1,0,False,False,False,False,False,False,False,False,7,5,5,6
22,C3H5NO2,FAIL,False,0.006461865521887162,0.06729177995813773,0,0,False,False,False,False,False,False,False,False,11,10,10,10
2,C2H3N3O2,FAIL,False,0.03934235481835077,0.046222792904220836,0,0,False,False,False,False,False,False,False,False,10,10,9,9
34,C3H5NO2,FAIL,False,0.06627897980936524,0.07360237113257609,0,0,False,False,False,False,False,False,False,False,11,11,10,11
6,C2H5NO2,FAIL,False,0.05957359052106368,0.0027104125906024395,0,0,False,False,False,False,False,False,False,False,9,8,9,9
9,C2H5NO2,FAIL,False,0.008593115882192337,0.027407530143973496,0,0,False,False,False,False,False,False,False,False,9,8,9,9
48,C3H5NO2,FAIL,False,0.03412753604479487,-0.0009309707544218249,0,1,False,False,False,False,False,False,False,False,10,10,11,10
25,C3H5NO2,FAIL,False,0.007607741477343187,0.007192836335734459,0,0,False,False,False,False,False,False,False,False,11,10,10,10
32,C3H5NO2,FAIL,False,0.01925386057783768,0.09629190578269964,0,0,False,False,False,False,False,False,False,False,11,11,11,11
3,C2H3N3O2,FAIL,False,0.03023203581177472,0.0017524426761791408,0,0,False,False,False,False,False,False,False,False,10,8,9,8
45,C3H5NO2,FAIL,False,0.01757820615720859,0.015610383836163741,0,0,False,False,False,False,False,False,False,False,10,9,10,10
50,C3H5NO2,FAIL,False,0.03864998092323174,0.0030268005412482715,0,0,False,False,False,False,False,False,False,False,10,11,10,10
41,C3H5NO2,FAIL,False,0.05269403088402312,0.0105979005994035,0,0,False,False,False,False,False,False,False,False,10,10,11,10
27,C3H5NO2,FAIL,False,0.0010371085912444337,0.005870189729137695,0,0,False,False,False,False,False,False,False,False,10,9,9,10
16,C3H5NO2,FAIL,False,0.003465366514074103,0.0028789699696832654,0,0,False,False,False,False,False,False,False,False,11,9,10,9
31,C3H5NO2,FAIL,False,0.0007752220882005814,0.0008207324735036402,0,0,False,False,False,False,False,False,False,False,11,11,9,9
5,C2H5NO2,SUCCESS,True,0.05698031681929999,0.06541999920258856,0,0,True,True,True,True,True,True,True,True,9,9,9,9
1,C2H3N3O2,SUCCESS,True,-0.029823790077027592,0.15777635128564454,1,0,True,True,True,True,True,True,True,False,10,10,10,10
4,C2H3N3O2,SUCCESS,True,0.1573305390228144,0.09751702411376519,0,0,True,True,True,True,True,False,True,False,10,10,10,10
