sample_id,formula,sella_status,final_fmax,final_n_neg,final_force_norm,total_steps,wall_time_s,converged
0,C2H3N3O2,FAIL,10.5384,2,3.5989,2000,152.2,False
1,C2H3N3O2,FAIL,1.2751,1,0.5066,2000,145.3,False
2,C2H3N3O2,FAIL,1.1112,0,0.3957,2000,144.3,False
3,C2H3N3O2,FAIL,0.5353,3,0.2541,2000,145.5,False
4,C2H3N3O2,FAIL,1.3135,3,0.7741,2000,145.6,False
5,C2H5NO2,CONV,0.0075,1,0.004,16,1.2,True
6,C2H5NO2,CONV,0.0074,1,0.0048,9,0.7,True
7,C2H5NO2,FAIL,0.0289,3,0.0214,2000,146.8,False
8,C2H5NO2,FAIL,0.8307,2,0.3424,2000,145.8,False
9,C2H5NO2,CONV,0.0093,1,0.0055,12,0.9,True
10,C2H5NO2,FAIL,0.9263,2,0.4357,2000,146.2,False
11,C2HNO,FAIL,0.1291,1,0.1142,2000,136.5,False
12,C2HNO,FAIL,0.6541,0,0.5092,2000,139.0,False
13,C2HNO,CONV,0.0053,1,0.0051,26,1.9,True
14,C2HNO,FAIL,0.8786,2,0.3608,2000,140.3,False
15,C2HNO3,FAIL,0.3446,1,0.1668,2000,141.5,False
16,C3H5NO2,CONV,0.0055,1,0.0024,15,1.6,True
17,C3H5NO2,FAIL,3.1433,3,1.0716,2000,149.2,False
18,C3H5NO2,CONV,0.0078,1,0.005,12,0.9,True
19,C3H5NO2,FAIL,0.1576,2,0.0727,2000,149.4,False
20,C3H5NO2,CONV,0.0087,1,0.0073,26,2.0,True
21,C3H5NO2,FAIL,0.0176,2,0.0153,2000,148.1,False
22,C3H5NO2,CONV,0.0065,1,0.0051,13,1.0,True
23,C3H5NO2,CONV,0.0084,1,0.0069,34,2.6,True
24,C3H5NO2,CONV,0.0083,1,0.0032,11,0.8,True
25,C3H5NO2,CONV,0.0067,1,0.0044,11,0.8,True
26,C3H5NO2,CONV,0.0097,2,0.0063,100,7.5,False
27,C3H5NO2,FAIL,4.9531,6,2.646,2000,150.4,False
28,C3H5NO2,FAIL,2.6654,6,1.2016,2000,149.4,False
29,C3H5NO2,FAIL,0.0167,1,0.0129,2000,143.8,False
30,C3H5NO2,FAIL,1.2078,3,0.6811,2000,146.5,False
31,C3H5NO2,CONV,0.0049,1,0.0028,13,1.0,True
32,C3H5NO2,FAIL,0.0624,3,0.0237,2000,148.9,False
33,C3H5NO2,FAIL,0.5479,2,0.2019,2000,147.5,False
34,C3H5NO2,FAIL,1.6616,3,0.427,2000,147.1,False
35,C3H5NO2,CONV,0.0044,1,0.002,14,1.1,True
36,C3H5NO2,FAIL,0.134,3,0.0668,2000,149.8,False
37,C3H5NO2,FAIL,1.6271,3,0.5896,2000,146.6,False
38,C3H5NO2,FAIL,0.2756,3,0.1465,2000,147.1,False
39,C3H5NO2,CONV,0.008,1,0.0051,1312,96.3,True
40,C3H5NO2,FAIL,0.4127,1,0.2995,2000,147.9,False
41,C3H5NO2,FAIL,0.7362,2,0.2568,2000,144.6,False
42,C3H5NO2,FAIL,0.9985,6,0.6069,2000,147.7,False
43,C3H5NO2,CONV,0.0089,2,0.006,20,1.5,False
44,C3H5NO2,FAIL,1.9894,5,1.3551,2000,146.4,False
45,C3H5NO2,CONV,0.0079,1,0.0058,17,1.3,True
46,C3H5NO2,CONV,0.0044,1,0.0024,15,1.1,True
47,C3H5NO2,FAIL,0.1284,2,0.083,2000,146.3,False
48,C3H5NO2,FAIL,0.3488,2,0.1352,2000,148.3,False
49,C3H5NO2,FAIL,0.0108,1,0.0093,2000,143.9,False
50,C3H5NO2,FAIL,0.0155,1,0.0116,2000,147.4,False
51,C3H5NO2,FAIL,0.0335,2,0.0304,2000,147.5,False
52,C3H5NO2,FAIL,4.1301,5,1.0685,2000,147.8,False
53,C3H5NO2,FAIL,4.0332,5,1.5321,2000,146.4,False
54,C3H5NO2,FAIL,2.5913,4,0.8395,2000,145.8,False
55,C3H5NO2,FAIL,0.0258,2,0.0236,2000,147.4,False
56,C3H5NO2,FAIL,0.755,3,0.4729,2000,145.5,False
57,C3H5NO2,CONV,0.0042,1,0.0028,23,1.7,True
58,C3H5NO2,FAIL,1.5127,3,0.6126,2000,147.4,False
59,C3H5NO2,FAIL,1.6822,3,0.6225,2000,148.4,False
60,C3H5NO2,FAIL,0.3094,3,0.1345,2000,147.5,False
61,C3H5NO2,FAIL,1.9705,6,1.2309,2000,145.6,False
62,C3H5NO2,FAIL,5.621,4,3.3451,2000,146.1,False
63,C3H5NO2,FAIL,0.0116,1,0.0098,2000,146.6,False
64,C3H5NO2,FAIL,0.0201,1,0.0113,2000,146.7,False
65,C3H5NO2,CONV,0.0016,1,0.001,14,1.0,True
66,C3H5NO2,FAIL,0.0843,1,0.0555,2000,145.4,False
67,C3H5NO2,FAIL,2.6065,6,1.084,2000,146.6,False
68,C3H5NO2,FAIL,0.0338,2,0.0151,2000,146.7,False
69,C3H5NO2,CONV,0.0085,1,0.0059,39,2.9,True
70,C3H5NO2,CONV,0.008,1,0.0049,13,1.0,True
71,C3H5NO2,FAIL,7.0517,4,2.7622,2000,145.1,False
72,C3H5NO2,FAIL,0.0211,1,0.0171,2000,146.9,False
73,C3H5NO2,FAIL,3.0722,4,1.1308,2000,147.6,False
74,C3H5NO2,FAIL,2.4027,4,0.6456,2000,147.2,False
75,C3H5NO2,CONV,0.0043,1,0.0017,10,0.7,True
76,C3H5NO2,FAIL,1.1734,3,0.6724,2000,145.5,False
77,C3H5NO2,CONV,0.0066,1,0.0034,15,1.1,True
78,C3H5NO2,FAIL,0.0357,1,0.0383,2000,146.3,False
79,C3H5NO2,CONV,0.0036,1,0.0026,42,3.3,True
80,C3H5NO2,FAIL,0.5154,3,0.259,2000,147.9,False
81,C3H5NO2,FAIL,0.0244,1,0.0177,2000,145.9,False
82,C3H5NO2,CONV,0.0062,1,0.0031,14,1.0,True
83,C3H5NO2,FAIL,0.0814,3,0.0419,2000,147.9,False
84,C3H5NO2,CONV,0.0081,1,0.0055,34,2.6,True
85,C3H5NO2,FAIL,0.5192,4,0.275,2000,148.7,False
