sample_id,formula,sella_status,final_fmax,final_n_neg,final_force_norm,total_steps,wall_time_s,converged
0,C2H3N3O2,FAIL,10.3736,5,3.1557,2000,181.0,False
1,C2H3N3O2,FAIL,4.3288,3,1.7852,2000,171.1,False
2,C2H3N3O2,CONV,0.0077,1,0.0039,24,2.3,True
3,C2H3N3O2,FAIL,2.8047,4,1.1706,2000,172.8,False
4,C2H3N3O2,FAIL,9.6767,3,4.9227,2000,172.7,False
5,C2H5NO2,CONV,0.0074,1,0.0042,66,6.0,True
6,C2H5NO2,CONV,0.0028,1,0.0015,29,2.7,True
7,C2H5NO2,FAIL,7.8745,6,3.8631,2000,172.9,False
8,C2H5NO2,FAIL,1.5579,3,0.7187,2000,176.1,False
9,C2H5NO2,CONV,0.0086,1,0.0025,33,3.0,True
10,C2H5NO2,FAIL,5.0754,4,3.1206,2000,169.4,False
11,C2HNO,FAIL,0.5218,1,0.3062,2000,159.1,False
12,C2HNO,FAIL,0.0579,1,0.0474,2000,159.1,False
13,C2HNO,CONV,0.006,1,0.0041,30,2.5,True
14,C2HNO,FAIL,0.5206,2,0.2738,2000,160.2,False
15,C2HNO3,FAIL,8.8861,4,4.4604,2000,164.5,False
16,C3H5NO2,FAIL,4.3694,4,2.7047,2000,173.6,False
17,C3H5NO2,FAIL,4.6685,2,2.2952,2000,174.1,False
18,C3H5NO2,CONV,0.006,1,0.0022,32,2.9,True
19,C3H5NO2,FAIL,0.1424,4,0.0852,2000,176.0,False
20,C3H5NO2,CONV,0.0077,1,0.0059,42,3.9,True
21,C3H5NO2,FAIL,0.1772,1,0.0814,2000,175.6,False
22,C3H5NO2,FAIL,3.8824,3,1.3382,2000,174.0,False
23,C3H5NO2,CONV,0.0089,1,0.0064,649,56.1,True
24,C3H5NO2,CONV,0.0044,1,0.0026,25,2.6,True
25,C3H5NO2,CONV,0.0055,1,0.0034,26,2.4,True
26,C3H5NO2,CONV,0.0083,1,0.0064,42,3.9,True
27,C3H5NO2,FAIL,4.603,5,2.7642,2000,173.8,False
28,C3H5NO2,FAIL,3.0559,7,1.7654,2000,3.5,False
29,C3H5NO2,CONV,0.0061,1,0.0043,43,4.0,True
30,C3H5NO2,FAIL,3.0319,3,1.592,2000,174.8,False
31,C3H5NO2,FAIL,5.805,2,3.2494,2000,174.1,False
32,C3H5NO2,FAIL,2.0161,3,1.274,2000,185.8,False
