method,noise_pm,n_completed,n_conv,conv_pct_partial,conv_pct_lb,n_ours_TS,ours_TS_pct_partial,median_steps,median_wall_s,median_fmax
carteck_nohess,10,30,3,10.0,1.0452961672473868,3,10.0,2000.0,1548.95,0.1924
carteck_nohess,30,29,1,3.4482758620689653,0.34843205574912894,1,3.4482758620689653,2000.0,1536.2,0.1459
carteck_nohess,50,30,3,10.0,1.0452961672473868,3,10.0,2000.0,1537.8000000000002,0.1212
carteck_nohess,100,30,1,3.3333333333333335,0.34843205574912894,1,3.3333333333333335,2000.0,1565.3000000000002,0.20375
carteck_nohess,150,29,0,0.0,0.0,0,0.0,2000.0,1566.9,0.2463
carteck_nohess,200,29,1,3.4482758620689653,0.34843205574912894,0,0.0,2000.0,1547.8,0.4691
internal_nohess,10,23,1,4.3478260869565215,0.34843205574912894,2,8.695652173913043,2000.0,1863.6,0.5039
internal_nohess,30,23,0,0.0,0.0,1,4.3478260869565215,2000.0,1835.3,0.6493
internal_nohess,50,23,1,4.3478260869565215,0.34843205574912894,1,4.3478260869565215,2000.0,1881.7,0.2415
internal_nohess,100,25,0,0.0,0.0,0,0.0,2000.0,1801.1,0.6159
internal_nohess,150,27,0,0.0,0.0,0,0.0,2000.0,1842.8,1.0459
internal_nohess,200,27,0,0.0,0.0,0,0.0,2000.0,1785.0,1.425
