method,noise_pm,step_budget,n_total,n_ever_conv,n_conv_by_step,frac_of_ever_conv,frac_of_total
Sella libdef (2k),10,1,287,270,0,0.0,0.0
Sella libdef (2k),10,2,287,270,0,0.0,0.0
Sella libdef (2k),10,3,287,270,16,0.05925925925925926,0.05574912891986063
Sella libdef (2k),10,5,287,270,151,0.5592592592592592,0.5261324041811847
Sella libdef (2k),10,7,287,270,236,0.8740740740740741,0.8222996515679443
Sella libdef (2k),10,10,287,270,259,0.9592592592592593,0.9024390243902439
Sella libdef (2k),10,15,287,270,265,0.9814814814814815,0.9233449477351916
Sella libdef (2k),10,20,287,270,268,0.9925925925925926,0.9337979094076655
Sella libdef (2k),10,30,287,270,268,0.9925925925925926,0.9337979094076655
Sella libdef (2k),10,50,287,270,269,0.9962962962962963,0.9372822299651568
Sella libdef (2k),10,75,287,270,269,0.9962962962962963,0.9372822299651568
Sella libdef (2k),10,100,287,270,269,0.9962962962962963,0.9372822299651568
Sella libdef (2k),10,200,287,270,270,1.0,0.9407665505226481
Sella libdef (2k),10,500,287,270,270,1.0,0.9407665505226481
Sella libdef (2k),10,1000,287,270,270,1.0,0.9407665505226481
Sella libdef (2k),10,2000,287,270,270,1.0,0.9407665505226481
Sella libdef (2k),30,1,287,271,0,0.0,0.0
Sella libdef (2k),30,2,287,271,0,0.0,0.0
Sella libdef (2k),30,3,287,271,0,0.0,0.0
Sella libdef (2k),30,5,287,271,35,0.12915129151291513,0.12195121951219512
Sella libdef (2k),30,7,287,271,171,0.6309963099630996,0.5958188153310104
Sella libdef (2k),30,10,287,271,250,0.922509225092251,0.8710801393728222
Sella libdef (2k),30,15,287,271,262,0.966789667896679,0.9128919860627178
Sella libdef (2k),30,20,287,271,266,0.981549815498155,0.926829268292683
Sella libdef (2k),30,30,287,271,269,0.992619926199262,0.9372822299651568
Sella libdef (2k),30,50,287,271,270,0.996309963099631,0.9407665505226481
Sella libdef (2k),30,75,287,271,270,0.996309963099631,0.9407665505226481
Sella libdef (2k),30,100,287,271,270,0.996309963099631,0.9407665505226481
Sella libdef (2k),30,200,287,271,270,0.996309963099631,0.9407665505226481
Sella libdef (2k),30,500,287,271,271,1.0,0.9442508710801394
Sella libdef (2k),30,1000,287,271,271,1.0,0.9442508710801394
Sella libdef (2k),30,2000,287,271,271,1.0,0.9442508710801394
Sella libdef (2k),50,1,287,262,0,0.0,0.0
