method,noise_pm,n_total,threshold,conv_fmax_pct,conv_fnorm_pct,conv_fmax_nosad_pct,conv_fnorm_nosad_pct,median_steps,median_wall_s,median_calls
GAD dt=0.003 (2k),10,287,0.05,98.60627177700349,98.95470383275261,99.65156794425087,100.0,172.0,10.852599620819092,172.0
GAD dt=0.003 (2k),10,287,0.01,88.15331010452962,94.77351916376307,88.15331010452962,95.1219512195122,172.0,10.852599620819092,172.0
GAD dt=0.003 (2k),10,287,0.005,0.0,17.073170731707318,0.0,17.073170731707318,172.0,10.852599620819092,172.0
GAD dt=0.003 (2k),10,287,0.001,0.0,0.0,0.0,0.0,172.0,10.852599620819092,172.0
GAD dt=0.003 (2k),10,287,0.0001,0.0,0.0,0.0,0.0,172.0,10.852599620819092,172.0
GAD dt=0.003 (2k),30,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,99.65156794425087,354.0,22.506701231002808,354.0
GAD dt=0.003 (2k),30,287,0.01,87.10801393728222,94.07665505226481,87.10801393728222,94.42508710801394,354.0,22.506701231002808,354.0
GAD dt=0.003 (2k),30,287,0.005,0.0,16.37630662020906,0.0,16.37630662020906,354.0,22.506701231002808,354.0
GAD dt=0.003 (2k),30,287,0.001,0.0,0.0,0.0,0.0,354.0,22.506701231002808,354.0
GAD dt=0.003 (2k),30,287,0.0001,0.0,0.0,0.0,0.0,354.0,22.506701231002808,354.0
GAD dt=0.003 (2k),50,287,0.05,95.1219512195122,96.51567944250871,96.16724738675958,98.25783972125436,507.0,32.38190221786499,507.0
GAD dt=0.003 (2k),50,287,0.01,84.66898954703832,90.59233449477352,84.66898954703832,90.94076655052265,507.0,32.38190221786499,507.0
GAD dt=0.003 (2k),50,287,0.005,0.0,14.285714285714286,0.0,14.285714285714286,507.0,32.38190221786499,507.0
GAD dt=0.003 (2k),50,287,0.001,0.0,0.0,0.0,0.0,507.0,32.38190221786499,507.0
GAD dt=0.003 (2k),50,287,0.0001,0.0,0.0,0.0,0.0,507.0,32.38190221786499,507.0
GAD dt=0.003 (2k),100,287,0.05,82.22996515679442,88.15331010452962,83.62369337979094,93.37979094076655,920.0,58.050676584243774,920.0
GAD dt=0.003 (2k),100,287,0.01,69.33797909407666,75.60975609756098,69.33797909407666,75.9581881533101,920.0,58.050676584243774,920.0
GAD dt=0.003 (2k),100,287,0.005,0.0,11.149825783972126,0.0,11.149825783972126,920.0,58.050676584243774,920.0
GAD dt=0.003 (2k),100,287,0.001,0.0,0.0,0.0,0.0,920.0,58.050676584243774,920.0
GAD dt=0.003 (2k),100,287,0.0001,0.0,0.0,0.0,0.0,920.0,58.050676584243774,920.0
GAD dt=0.003 (2k),150,287,0.05,67.24738675958189,76.30662020905923,69.68641114982579,83.62369337979094,1796.0,113.94092583656311,1796.0
GAD dt=0.003 (2k),150,287,0.01,51.56794425087108,57.491289198606275,51.56794425087108,57.491289198606275,1796.0,113.94092583656311,1796.0
GAD dt=0.003 (2k),150,287,0.005,0.0,7.317073170731708,0.0,7.317073170731708,1796.0,113.94092583656311,1796.0
GAD dt=0.003 (2k),150,287,0.001,0.0,0.0,0.0,0.0,1796.0,113.94092583656311,1796.0
GAD dt=0.003 (2k),150,287,0.0001,0.0,0.0,0.0,0.0,1796.0,113.94092583656311,1796.0
GAD dt=0.003 (2k),200,287,0.05,52.613240418118465,62.02090592334495,55.05226480836237,72.12543554006969,2000.0,123.05061340332031,2000.0
GAD dt=0.003 (2k),200,287,0.01,34.84320557491289,40.069686411149824,34.84320557491289,40.069686411149824,2000.0,123.05061340332031,2000.0
GAD dt=0.003 (2k),200,287,0.005,0.0,4.181184668989547,0.0,4.181184668989547,2000.0,123.05061340332031,2000.0
GAD dt=0.003 (2k),200,287,0.001,0.0,0.0,0.0,0.0,2000.0,123.05061340332031,2000.0
GAD dt=0.003 (2k),200,287,0.0001,0.0,0.0,0.0,0.0,2000.0,123.05061340332031,2000.0
GAD dt=0.005 (2k),10,287,0.05,98.60627177700349,98.95470383275261,99.65156794425087,100.0,104.0,6.6425065994262695,104.0
GAD dt=0.005 (2k),10,287,0.01,88.85017421602788,95.81881533101046,88.85017421602788,96.16724738675958,104.0,6.6425065994262695,104.0
GAD dt=0.005 (2k),10,287,0.005,0.0,17.073170731707318,0.0,17.073170731707318,104.0,6.6425065994262695,104.0
GAD dt=0.005 (2k),10,287,0.001,0.0,0.0,0.0,0.0,104.0,6.6425065994262695,104.0
GAD dt=0.005 (2k),10,287,0.0001,0.0,0.0,0.0,0.0,104.0,6.6425065994262695,104.0
GAD dt=0.005 (2k),30,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,99.65156794425087,215.0,13.477656602859497,215.0
GAD dt=0.005 (2k),30,287,0.01,88.15331010452962,95.47038327526133,88.15331010452962,95.81881533101046,215.0,13.477656602859497,215.0
GAD dt=0.005 (2k),30,287,0.005,0.0,17.073170731707318,0.0,17.073170731707318,215.0,13.477656602859497,215.0
GAD dt=0.005 (2k),30,287,0.001,0.0,0.0,0.0,0.0,215.0,13.477656602859497,215.0
GAD dt=0.005 (2k),30,287,0.0001,0.0,0.0,0.0,0.0,215.0,13.477656602859497,215.0
GAD dt=0.005 (2k),50,287,0.05,95.1219512195122,96.51567944250871,96.16724738675958,98.25783972125436,305.0,18.949395895004272,305.0
GAD dt=0.005 (2k),50,287,0.01,85.36585365853658,91.63763066202091,85.36585365853658,91.98606271777004,305.0,18.949395895004272,305.0
GAD dt=0.005 (2k),50,287,0.005,0.0,15.679442508710801,0.0,15.679442508710801,305.0,18.949395895004272,305.0
GAD dt=0.005 (2k),50,287,0.001,0.0,0.0,0.0,0.0,305.0,18.949395895004272,305.0
GAD dt=0.005 (2k),50,287,0.0001,0.0,0.0,0.0,0.0,305.0,18.949395895004272,305.0
GAD dt=0.005 (2k),100,287,0.05,82.92682926829268,88.50174216027875,84.3205574912892,93.37979094076655,561.0,35.084877014160156,561.0
GAD dt=0.005 (2k),100,287,0.01,71.0801393728223,77.35191637630662,71.0801393728223,77.70034843205575,561.0,35.084877014160156,561.0
GAD dt=0.005 (2k),100,287,0.005,0.0,10.452961672473867,0.0,10.452961672473867,561.0,35.084877014160156,561.0
GAD dt=0.005 (2k),100,287,0.001,0.0,0.0,0.0,0.0,561.0,35.084877014160156,561.0
GAD dt=0.005 (2k),100,287,0.0001,0.0,0.0,0.0,0.0,561.0,35.084877014160156,561.0
GAD dt=0.005 (2k),150,287,0.05,68.6411149825784,79.09407665505226,71.77700348432056,87.10801393728222,1035.0,65.85591316223145,1035.0
GAD dt=0.005 (2k),150,287,0.01,54.35540069686411,58.88501742160279,54.35540069686411,58.88501742160279,1035.0,65.85591316223145,1035.0
GAD dt=0.005 (2k),150,287,0.005,0.0,8.362369337979095,0.0,8.362369337979095,1035.0,65.85591316223145,1035.0
GAD dt=0.005 (2k),150,287,0.001,0.0,0.0,0.0,0.0,1035.0,65.85591316223145,1035.0
GAD dt=0.005 (2k),150,287,0.0001,0.0,0.0,0.0,0.0,1035.0,65.85591316223145,1035.0
GAD dt=0.005 (2k),200,287,0.05,58.18815331010453,66.89895470383276,62.36933797909408,80.13937282229965,2000.0,122.99519729614258,2000.0
GAD dt=0.005 (2k),200,287,0.01,38.32752613240418,44.94773519163763,38.32752613240418,44.94773519163763,2000.0,122.99519729614258,2000.0
GAD dt=0.005 (2k),200,287,0.005,0.0,4.181184668989547,0.0,4.181184668989547,2000.0,122.99519729614258,2000.0
GAD dt=0.005 (2k),200,287,0.001,0.0,0.0,0.0,0.0,2000.0,122.99519729614258,2000.0
GAD dt=0.005 (2k),200,287,0.0001,0.0,0.0,0.0,0.0,2000.0,122.99519729614258,2000.0
GAD dt=0.003 (5k),10,287,0.05,98.60627177700349,98.95470383275261,99.65156794425087,100.0,172.0,10.71532416343689,172.0
GAD dt=0.003 (5k),10,287,0.01,89.19860627177701,95.81881533101046,89.19860627177701,96.16724738675958,172.0,10.71532416343689,172.0
GAD dt=0.003 (5k),10,287,0.005,0.0,17.073170731707318,0.0,17.073170731707318,172.0,10.71532416343689,172.0
GAD dt=0.003 (5k),10,287,0.001,0.0,0.0,0.0,0.0,172.0,10.71532416343689,172.0
GAD dt=0.003 (5k),10,287,0.0001,0.0,0.0,0.0,0.0,172.0,10.71532416343689,172.0
GAD dt=0.003 (5k),30,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,99.65156794425087,357.0,22.16204524040222,357.0
GAD dt=0.003 (5k),30,287,0.01,88.50174216027875,95.47038327526133,88.50174216027875,95.81881533101046,357.0,22.16204524040222,357.0
GAD dt=0.003 (5k),30,287,0.005,0.0,15.331010452961673,0.0,15.331010452961673,357.0,22.16204524040222,357.0
GAD dt=0.003 (5k),30,287,0.001,0.0,0.0,0.0,0.0,357.0,22.16204524040222,357.0
GAD dt=0.003 (5k),30,287,0.0001,0.0,0.0,0.0,0.0,357.0,22.16204524040222,357.0
GAD dt=0.003 (5k),50,287,0.05,95.1219512195122,96.51567944250871,96.16724738675958,98.25783972125436,505.0,31.26272964477539,505.0
GAD dt=0.003 (5k),50,287,0.01,85.36585365853658,91.98606271777004,85.36585365853658,92.33449477351917,505.0,31.26272964477539,505.0
GAD dt=0.003 (5k),50,287,0.005,0.0,14.634146341463415,0.0,14.634146341463415,505.0,31.26272964477539,505.0
GAD dt=0.003 (5k),50,287,0.001,0.0,0.0,0.0,0.0,505.0,31.26272964477539,505.0
GAD dt=0.003 (5k),50,287,0.0001,0.0,0.0,0.0,0.0,505.0,31.26272964477539,505.0
GAD dt=0.003 (5k),100,287,0.05,82.92682926829268,88.50174216027875,84.66898954703832,93.37979094076655,931.0,58.79430556297302,931.0
GAD dt=0.003 (5k),100,287,0.01,71.0801393728223,78.04878048780488,71.0801393728223,78.397212543554,931.0,58.79430556297302,931.0
GAD dt=0.003 (5k),100,287,0.005,0.0,12.89198606271777,0.0,12.89198606271777,931.0,58.79430556297302,931.0
GAD dt=0.003 (5k),100,287,0.001,0.0,0.0,0.0,0.0,931.0,58.79430556297302,931.0
GAD dt=0.003 (5k),100,287,0.0001,0.0,0.0,0.0,0.0,931.0,58.79430556297302,931.0
GAD dt=0.003 (5k),150,287,0.05,71.77700348432056,80.48780487804878,75.26132404181185,89.19860627177701,1812.0,111.39158821105957,1812.0
GAD dt=0.003 (5k),150,287,0.01,55.05226480836237,63.41463414634146,55.05226480836237,63.76306620209059,1812.0,111.39158821105957,1812.0
GAD dt=0.003 (5k),150,287,0.005,0.0,9.059233449477352,0.0,9.059233449477352,1812.0,111.39158821105957,1812.0
GAD dt=0.003 (5k),150,287,0.001,0.0,0.0,0.0,0.0,1812.0,111.39158821105957,1812.0
GAD dt=0.003 (5k),150,287,0.0001,0.0,0.0,0.0,0.0,1812.0,111.39158821105957,1812.0
GAD dt=0.003 (5k),200,287,0.05,62.717770034843205,69.33797909407666,69.33797909407666,83.62369337979094,5000.0,303.808224439621,5000.0
GAD dt=0.003 (5k),200,287,0.01,40.76655052264808,50.52264808362369,40.76655052264808,51.21951219512195,5000.0,303.808224439621,5000.0
GAD dt=0.003 (5k),200,287,0.005,0.0,4.878048780487805,0.0,4.878048780487805,5000.0,303.808224439621,5000.0
GAD dt=0.003 (5k),200,287,0.001,0.0,0.0,0.0,0.0,5000.0,303.808224439621,5000.0
GAD dt=0.003 (5k),200,287,0.0001,0.0,0.0,0.0,0.0,5000.0,303.808224439621,5000.0
GAD dt=0.004 (5k),10,287,0.05,98.60627177700349,98.95470383275261,99.65156794425087,100.0,129.0,8.194525718688965,129.0
GAD dt=0.004 (5k),10,287,0.01,89.19860627177701,95.81881533101046,89.19860627177701,96.16724738675958,129.0,8.194525718688965,129.0
GAD dt=0.004 (5k),10,287,0.005,0.0,16.72473867595819,0.0,16.72473867595819,129.0,8.194525718688965,129.0
GAD dt=0.004 (5k),10,287,0.001,0.0,0.0,0.0,0.0,129.0,8.194525718688965,129.0
GAD dt=0.004 (5k),10,287,0.0001,0.0,0.0,0.0,0.0,129.0,8.194525718688965,129.0
GAD dt=0.004 (5k),30,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,100.0,266.0,16.810763597488403,266.0
GAD dt=0.004 (5k),30,287,0.01,88.85017421602788,95.47038327526133,88.85017421602788,95.81881533101046,266.0,16.810763597488403,266.0
GAD dt=0.004 (5k),30,287,0.005,0.0,16.37630662020906,0.0,16.37630662020906,266.0,16.810763597488403,266.0
GAD dt=0.004 (5k),30,287,0.001,0.0,0.0,0.0,0.0,266.0,16.810763597488403,266.0
GAD dt=0.004 (5k),30,287,0.0001,0.0,0.0,0.0,0.0,266.0,16.810763597488403,266.0
GAD dt=0.004 (5k),50,287,0.05,95.1219512195122,96.51567944250871,96.16724738675958,98.25783972125436,382.0,23.981556177139282,382.0
GAD dt=0.004 (5k),50,287,0.01,85.71428571428571,91.63763066202091,85.71428571428571,91.98606271777004,382.0,23.981556177139282,382.0
GAD dt=0.004 (5k),50,287,0.005,0.0,13.937282229965156,0.0,13.937282229965156,382.0,23.981556177139282,382.0
GAD dt=0.004 (5k),50,287,0.001,0.0,0.0,0.0,0.0,382.0,23.981556177139282,382.0
GAD dt=0.004 (5k),50,287,0.0001,0.0,0.0,0.0,0.0,382.0,23.981556177139282,382.0
GAD dt=0.004 (5k),100,287,0.05,82.92682926829268,87.8048780487805,84.66898954703832,93.37979094076655,694.0,42.58523488044739,694.0
GAD dt=0.004 (5k),100,287,0.01,71.42857142857143,78.397212543554,71.77700348432056,79.09407665505226,694.0,42.58523488044739,694.0
GAD dt=0.004 (5k),100,287,0.005,0.0,11.846689895470384,0.0,11.846689895470384,694.0,42.58523488044739,694.0
GAD dt=0.004 (5k),100,287,0.001,0.0,0.0,0.0,0.0,694.0,42.58523488044739,694.0
GAD dt=0.004 (5k),100,287,0.0001,0.0,0.0,0.0,0.0,694.0,42.58523488044739,694.0
GAD dt=0.004 (5k),150,287,0.05,71.42857142857143,79.79094076655052,74.21602787456446,88.85017421602788,1298.0,81.46658897399902,1298.0
GAD dt=0.004 (5k),150,287,0.01,56.09756097560975,63.41463414634146,56.09756097560975,64.11149825783973,1298.0,81.46658897399902,1298.0
GAD dt=0.004 (5k),150,287,0.005,0.0,9.40766550522648,0.0,9.40766550522648,1298.0,81.46658897399902,1298.0
GAD dt=0.004 (5k),150,287,0.001,0.0,0.0,0.0,0.0,1298.0,81.46658897399902,1298.0
GAD dt=0.004 (5k),150,287,0.0001,0.0,0.0,0.0,0.0,1298.0,81.46658897399902,1298.0
GAD dt=0.004 (5k),200,287,0.05,63.066202090592334,68.98954703832753,69.68641114982579,84.3205574912892,5000.0,308.0006341934204,5000.0
